sample,DF1,DF2,TDF2,CASCADE
205,0.0015033430,0.0015033430,0.0015033430,0.0015033430
206,0.0016635607,0.0016635607,0.0016635607,0.0016635607
207,0.0017065833,0.0017065833,0.0017065833,0.0017065833
208,0.0016325785,0.0016325785,0.0016325785,0.0016325785
209,0.0014496568,0.0014496568,0.0014496568,0.0014496568
210,0.0011731112,0.0011731112,0.0011731112,0.0011731112
211,0.0008241898,0.0008241898,0.0008241898,0.0008241898
212,0.0004284956,0.0004284956,0.0004284956,0.0004284956
213,0.0000141327,0.0000141327,0.0000141327,0.0000141327
214,-0.0003902673,-0.0003902673,-0.0003902673,-0.0003902673
215,-0.0007575045,-0.0007575045,-0.0007575045,-0.0007575045
216,-0.0010636197,-0.0010636197,-0.0010636197,-0.0010636197
217,-0.0012894357,-0.0012894357,-0.0012894357,-0.0012894357
218,-0.0014217342,-0.0014217342,-0.0014217342,-0.0014217342
219,-0.0014539960,-0.0014539960,-0.0014539960,-0.0014539960
220,-0.0013866672,-0.0013866672,-0.0013866672,-0.0013866672
221,-0.0012269451,-0.0012269451,-0.0012269451,-0.0012269451
222,-0.0009881119,-0.0009881119,-0.0009881119,-0.0009881119
223,-0.0006884720,-0.0006884720,-0.0006884720,-0.0006884720
224,-0.0003499768,-0.0003499768,-0.0003499768,-0.0003499768
225,0.0000033626,0.0000033626,0.0000033626,0.0000033626
226,0.0003471596,0.0003471596,0.0003471596,0.0003471596
227,0.0006583188,0.0006583188,0.0006583188,0.0006583188
228,0.0009165697,0.0009165697,0.0009165697,0.0009165697
229,0.0011057693,0.0011057693,0.0011057693,0.0011057693
230,0.0012148893,0.0012148893,0.0012148893,0.0012148893
231,0.0012386304,0.0012386304,0.0012386304,0.0012386304
232,0.0011776307,0.0011776307,0.0011776307,0.0011776307
233,0.0010382666,0.0010382666,0.0010382666,0.0010382666
234,0.0008320678,0.0008320678,0.0008320678,0.0008320678
235,0.0005747990,0.0005747990,0.0005747990,0.0005747990
236,0.0002852774,0.0002852774,0.0002852774,0.0002852774
237,-0.0000159855,-0.0000159855,-0.0000159855,-0.0000159855
238,-0.0003082217,-0.0003082217,-0.0003082217,-0.0003082217
239,-0.0005718233,-0.0005718233,-0.0005718233,-0.0005718233
240,-0.0007896442,-0.0007896442,-0.0007896442,-0.0007896442
241,-0.0009480989,-0.0009480989,-0.0009480989,-0.0009480989
242,-0.0010379918,-0.0010379918,-0.0010379918,-0.0010379918
243,-0.0010550256,-0.0010550256,-0.0010550256,-0.0010550256
244,-0.0009999640,-0.0009999640,-0.0009999640,-0.0009999640
245,-0.0008784467,-0.0008784467,-0.0008784467,-0.0008784467
246,-0.0007004776,-0.0007004776,-0.0007004776,-0.0007004776
247,-0.0004796306,-0.0004796306,-0.0004796306,-0.0004796306
248,-0.0002320336,-0.0002320336,-0.0002320336,-0.0002320336
249,0.0000247941,0.0000247941,0.0000247941,0.0000247941
250,0.0002731682,0.0002731682,0.0002731682,0.0002731682
251,0.0004964444,0.0004964444,0.0004964444,0.0004964444
252,0.0006801218,0.0006801218,0.0006801218,0.0006801218
253,0.0008127707,0.0008127707,0.0008127707,0.0008127707
254,0.0008867280,0.0008867280,0.0008867280,0.0008867280
255,0.0008985186,0.0008985186,0.0008985186,0.0008985186
256,0.0008489803,0.0008489803,0.0008489803,0.0008489803
257,0.0007430939,0.0007430939,0.0007430939,0.0007430939
258,0.0005895355,0.0005895355,0.0005895355,0.0005895355
259,0.0003999898,0.0003999898,0.0003999898,0.0003999898
