sample,DF1,DF2,TDF2,CASCADE
109,0.0051519871,0.1584749818,0.0051519871,0.0050978065
110,0.0058740973,0.1560304165,0.0058740973,0.0058147311
111,0.0061812997,0.1541345716,0.0061812997,0.0061178207
112,0.0060635805,0.1586496234,0.0060635805,0.0059973598
113,0.0055400729,0.1559939981,0.0055400729,0.0054728985
114,0.0046569705,0.1579242945,0.0046569705,0.0045904517
115,0.0034837127,0.1594214439,0.0034837127,0.0034195781
116,0.0021076202,0.1558560729,0.0021076202,0.0020474195
117,0.0006274581,0.1579531431,0.0006274581,0.0005723238
118,-0.0008534789,0.1564288139,-0.0008534789,-0.0009026527
119,-0.0022345185,0.1552466750,-0.0022345185,-0.0022774339
120,-0.0034244061,0.1580620408,-0.0034244061,-0.0034613013
121,-0.0043472648,0.1564060450,-0.0043472648,-0.0043787956
122,-0.0049473047,0.1576097012,-0.0049473047,-0.0049747229
123,-0.0051922202,0.1585432291,-0.0051922202,-0.0052171350
124,-0.0050747395,0.1563201547,-0.0050747395,-0.0050988197
125,-0.0046124458,0.1576277018,-0.0046124458,-0.0046373010
126,-0.0038458705,0.1566771865,-0.0038458705,-0.0038731098
127,-0.0028350949,0.1559400558,-0.0028350949,-0.0028659105
128,-0.0016552210,0.1576956511,-0.0016552210,-0.0016906857
129,-0.0003907681,0.1566629410,-0.0003907681,-0.0004315376
130,0.0008702278,0.1574136019,0.0008702278,0.0008236170
131,0.0020423532,0.1579956412,0.0020423532,0.0019899011
132,0.0030484200,0.1566094160,0.0030484200,0.0029901862
133,0.0038245916,0.1574247479,0.0038245916,0.0037611127
134,0.0043242574,0.1568319798,0.0043242574,0.0042562485
135,0.0045208335,0.1563723683,0.0045208335,0.0044493079
136,0.0044090152,0.1574670672,0.0044090152,0.0043351054
137,0.0040045381,0.1568231583,0.0040045381,0.0039296150
138,0.0033425689,0.1572912931,0.0033425689,0.0032678246
139,0.0024747849,0.1576541662,0.0024747849,0.0024016500
140,0.0014654994,0.1567897797,0.0014654994,0.0013950467
141,0.0003868937,0.1572983265,0.0003868937,0.0003203750
142,-0.0006860495,0.1569285989,-0.0006860495,-0.0007477403
143,-0.0016807318,0.1566420197,-0.0016807318,-0.0017369390
144,-0.0025318265,0.1573246121,-0.0025318265,-0.0025821328
145,-0.0031854510,0.1569231153,-0.0031854510,-0.0032296777
146,-0.0036025047,0.1572150588,-0.0036025047,-0.0036408305
