filter_name,type,structure,cutoff,order,time_seconds
cheby1,float,CASCADE,1000,8,0.241191
cheby1,double,CASCADE,2000,8,0.258668
cheby1,float,CASCADE,2000,8,0.241335
cheby1,double,CASCADE,5000,8,0.259470
cheby1,float,CASCADE,5000,8,0.241804
cheby2,double,CASCADE,1000,2,0.084247
cheby2,float,CASCADE,1000,2,0.069676
cheby2,double,CASCADE,2000,2,0.083285
cheby2,float,CASCADE,2000,2,0.069396
cheby2,double,CASCADE,5000,2,0.083426
cheby2,float,CASCADE,5000,2,0.069678
cheby2,double,CASCADE,1000,4,0.142442
cheby2,float,CASCADE,1000,4,0.127566
cheby2,double,CASCADE,2000,4,0.142365
cheby2,float,CASCADE,2000,4,0.126536
cheby2,double,CASCADE,5000,4,0.141856
cheby2,float,CASCADE,5000,4,0.127552
cheby2,double,CASCADE,1000,6,0.201267
cheby2,float,CASCADE,1000,6,0.184159
cheby2,double,CASCADE,2000,6,0.201229
cheby2,float,CASCADE,2000,6,0.183933
cheby2,double,CASCADE,5000,6,0.200997
cheby2,float,CASCADE,5000,6,0.184564
cheby2,double,CASCADE,1000,8,0.258894
cheby2,float,CASCADE,1000,8,0.241131
cheby2,double,CASCADE,2000,8,0.258887
cheby2,float,CASCADE,2000,8,0.241727
cheby2,double,CASCADE,5000,8,0.258730
cheby2,float,CASCADE,5000,8,0.241960
ellip,double,CASCADE,1000,2,0.083633
ellip,float,CASCADE,1000,2,0.069839
ellip,double,CASCADE,2000,2,0.083858
ellip,float,CASCADE,2000,2,0.069723
ellip,double,CASCADE,5000,2,0.083498
ellip,float,CASCADE,5000,2,0.069853
ellip,double,CASCADE,1000,4,0.141591
ellip,float,CASCADE,1000,4,0.127275
ellip,double,CASCADE,2000,4,0.141751
ellip,float,CASCADE,2000,4,0.126755
ellip,double,CASCADE,5000,4,0.142027
ellip,float,CASCADE,5000,4,0.127389
ellip,double,CASCADE,1000,6,0.201010
ellip,float,CASCADE,1000,6,0.184281
ellip,double,CASCADE,2000,6,0.200657
ellip,float,CASCADE,2000,6,0.184485
ellip,double,CASCADE,5000,6,0.201406
ellip,float,CASCADE,5000,6,0.185016
ellip,double,CASCADE,1000,8,0.259360
ellip,float,CASCADE,1000,8,0.242283
ellip,double,CASCADE,2000,8,0.259620
ellip,float,CASCADE,2000,8,0.241775
ellip,double,CASCADE,5000,8,0.259764
ellip,float,CASCADE,5000,8,0.241394
bessel,double,CASCADE,1000,2,0.083837
bessel,float,CASCADE,1000,2,0.070440
bessel,double,CASCADE,2000,2,0.083351
bessel,float,CASCADE,2000,2,0.069677
bessel,double,CASCADE,5000,2,0.083286
bessel,float,CASCADE,5000,2,0.069712
bessel,double,CASCADE,1000,4,0.141673
bessel,float,CASCADE,1000,4,0.127154
bessel,double,CASCADE,2000,4,0.141887
bessel,float,CASCADE,2000,4,0.127830
bessel,double,CASCADE,5000,4,0.142623
bessel,float,CASCADE,5000,4,0.127090
bessel,double,CASCADE,1000,6,0.200947
bessel,float,CASCADE,1000,6,0.184750
bessel,double,CASCADE,2000,6,0.200167
bessel,float,CASCADE,2000,6,0.185116
bessel,double,CASCADE,5000,6,0.200994
bessel,float,CASCADE,5000,6,0.184364
bessel,double,CASCADE,1000,8,0.259381
bessel,float,CASCADE,1000,8,0.240896
bessel,double,CASCADE,2000,8,0.259194
bessel,float,CASCADE,2000,8,0.241557
bessel,double,CASCADE,5000,8,0.259605
bessel,float,CASCADE,5000,8,0.243057
