filter_name,type,structure,cutoff,order,time_seconds
cheby2,double,TDF2,5000,4,0.289000
cheby2,double,CASCADE,5000,4,0.289000
cheby2,float,DF1,5000,4,0.692000
cheby2,float,DF2,5000,4,0.705000
cheby2,float,TDF2,5000,4,0.328000
cheby2,float,CASCADE,5000,4,0.328000
cheby2,double,DF1,1000,6,1.054000
cheby2,double,DF2,1000,6,1.117000
cheby2,double,TDF2,1000,6,0.417000
cheby2,double,CASCADE,1000,6,0.417000
cheby2,float,DF1,1000,6,1.009000
cheby2,float,DF2,1000,6,1.106000
cheby2,float,TDF2,1000,6,0.459000
cheby2,float,CASCADE,1000,6,0.459000
cheby2,double,DF1,2000,6,1.014000
cheby2,double,DF2,2000,6,1.117000
cheby2,double,TDF2,2000,6,0.413000
cheby2,double,CASCADE,2000,6,0.413000
cheby2,float,DF1,2000,6,1.003000
cheby2,float,DF2,2000,6,1.107000
cheby2,float,TDF2,2000,6,0.457000
cheby2,float,CASCADE,2000,6,0.457000
cheby2,double,DF1,5000,6,1.017000
cheby2,double,DF2,5000,6,1.117000
cheby2,double,TDF2,5000,6,0.416000
cheby2,double,CASCADE,5000,6,0.416000
cheby2,float,DF1,5000,6,1.037000
cheby2,float,DF2,5000,6,1.109000
cheby2,float,TDF2,5000,6,0.458000
cheby2,float,CASCADE,5000,6,0.458000
cheby2,double,DF1,1000,8,1.424000
cheby2,double,DF2,1000,8,1.540000
cheby2,double,TDF2,1000,8,0.539000
cheby2,double,CASCADE,1000,8,0.539000
cheby2,float,DF1,1000,8,1.374000
cheby2,float,DF2,1000,8,1.512000
cheby2,float,TDF2,1000,8,0.642000
cheby2,float,CASCADE,1000,8,0.642000
cheby2,double,DF1,2000,8,1.426000
cheby2,double,DF2,2000,8,1.538000
cheby2,double,TDF2,2000,8,0.538000
cheby2,double,CASCADE,2000,8,0.538000
cheby2,float,DF1,2000,8,1.381000
cheby2,float,DF2,2000,8,1.512000
cheby2,float,TDF2,2000,8,0.638000
cheby2,float,CASCADE,2000,8,0.638000
cheby2,double,DF1,5000,8,1.425000
cheby2,double,DF2,5000,8,1.544000
cheby2,double,TDF2,5000,8,0.541000
cheby2,double,CASCADE,5000,8,0.541000
cheby2,float,DF1,5000,8,1.379000
cheby2,float,DF2,5000,8,1.511000
cheby2,float,TDF2,5000,8,0.639000
cheby2,float,CASCADE,5000,8,0.639000
ellip,double,DF1,1000,2,0.416000
ellip,double,DF2,1000,2,0.414000
ellip,double,TDF2,1000,2,0.197000
ellip,double,CASCADE,1000,2,0.197000
ellip,float,DF1,1000,2,0.377000
ellip,float,DF2,1000,2,0.380000
ellip,float,TDF2,1000,2,0.182000
ellip,float,CASCADE,1000,2,0.182000
ellip,double,DF1,2000,2,0.412000
ellip,double,DF2,2000,2,0.413000
ellip,double,TDF2,2000,2,0.197000
ellip,double,CASCADE,2000,2,0.197000
ellip,float,DF1,2000,2,0.379000
ellip,float,DF2,2000,2,0.379000
ellip,float,TDF2,2000,2,0.182000
ellip,float,CASCADE,2000,2,0.182000
ellip,double,DF1,5000,2,0.412000
ellip,double,DF2,5000,2,0.414000
ellip,double,TDF2,5000,2,0.197000
ellip,double,CASCADE,5000,2,0.197000
ellip,float,DF1,5000,2,0.379000
ellip,float,DF2,5000,2,0.379000
ellip,float,TDF2,5000,2,0.184000
ellip,float,CASCADE,5000,2,0.184000
ellip,double,DF1,1000,4,0.731000
ellip,double,DF2,1000,4,0.739000
ellip,double,TDF2,1000,4,0.287000
ellip,double,CASCADE,1000,4,0.287000
ellip,float,DF1,1000,4,0.693000
ellip,float,DF2,1000,4,0.707000
ellip,float,TDF2,1000,4,0.327000
ellip,float,CASCADE,1000,4,0.327000
ellip,double,DF1,2000,4,0.706000
ellip,double,DF2,2000,4,0.739000
ellip,double,TDF2,2000,4,0.289000
ellip,double,CASCADE,2000,4,0.289000
ellip,float,DF1,2000,4,0.696000
ellip,float,DF2,2000,4,0.706000
ellip,float,TDF2,2000,4,0.330000
ellip,float,CASCADE,2000,4,0.330000
ellip,double,DF1,5000,4,0.706000
ellip,double,DF2,5000,4,0.740000
ellip,double,TDF2,5000,4,0.288000
ellip,double,CASCADE,5000,4,0.288000
ellip,float,DF1,5000,4,0.695000
ellip,float,DF2,5000,4,0.705000
ellip,float,TDF2,5000,4,0.327000
ellip,float,CASCADE,5000,4,0.327000
ellip,double,DF1,1000,6,1.014000
ellip,double,DF2,1000,6,1.116000
ellip,double,TDF2,1000,6,0.412000
