source_file,type,structure,order,best_fit,p_value,n_samples,fit_params,
python_time_results.csv,float32,DF1,2,brak dopasowania,1.4908669466406443e-87,300,,
python_time_results.csv,float32,DF1,4,weibull_min,0.06529488021037066,300,"c 1.839820, loc 10.108099, scale 0.183155",
python_time_results.csv,float32,DF1,6,brak dopasowania,3.4306079632021866e-32,300,,
python_time_results.csv,float32,DF1,8,brak dopasowania,2.0373250690135716e-76,245,,
python_time_results.csv,float32,DF2,2,brak dopasowania,8.765657707514008e-122,300,,
python_time_results.csv,float32,DF2,4,weibull_min,0.47544847339579954,300,"c 1.811060, loc 10.856177, scale 0.207321",
python_time_results.csv,float32,DF2,6,brak dopasowania,2.595164475098846e-40,300,,
python_time_results.csv,float32,DF2,8,weibull_min,0.05390119255162584,240,"c 1.946252, loc 19.178284, scale 0.387882",
python_time_results.csv,float32,TDF2,2,brak dopasowania,7.310550696293668e-13,300,,
python_time_results.csv,float32,TDF2,4,weibull_min,0.3084577061689566,300,"c 1.639982, loc 6.630072, scale 0.124318",
python_time_results.csv,float32,TDF2,6,brak dopasowania,1.0719851681367394e-48,300,,
python_time_results.csv,float32,TDF2,8,weibull_min,0.2878808496048234,240,"c 1.350909, loc 11.950624, scale 0.215834",
python_time_results.csv,float64,CASCADE,2,weibull_min,0.029936885468608065,300,"c 2.047780, loc 3.204521, scale 0.107623",
python_time_results.csv,float64,CASCADE,4,brak dopasowania,1.1414590328203475e-161,300,,
python_time_results.csv,float64,CASCADE,6,weibull_min,0.22120424057025823,300,"c 2.013835, loc 9.674093, scale 0.235058",
python_time_results.csv,float64,CASCADE,8,brak dopasowania,6.6755243252463095e-87,260,,
python_time_results.csv,float64,DF1,2,brak dopasowania,8.401303875223987e-16,300,,
python_time_results.csv,float64,DF1,4,weibull_min,0.17472969036587038,300,"c 2.090509, loc 8.663801, scale 0.175252",
python_time_results.csv,float64,DF1,6,brak dopasowania,1.8788134101812187e-50,300,,
python_time_results.csv,float64,DF1,8,weibull_min,0.3117590727769609,260,"c 1.807087, loc 15.434095, scale 0.242404",
python_time_results.csv,float64,DF2,2,weibull_min,0.6229889998305103,300,"c 1.971307, loc 5.540323, scale 0.154136",
python_time_results.csv,float64,DF2,4,weibull_min,0.19286830826122203,300,"c 2.022968, loc 8.944919, scale 0.179326",
python_time_results.csv,float64,DF2,6,weibull_min,0.2113253044593868,300,"c 1.609578, loc 12.335200, scale 0.249184",
python_time_results.csv,float64,DF2,8,weibull_min,0.5489172291987244,260,"c 1.922788, loc 15.714451, scale 0.242538",
python_time_results.csv,float64,TDF2,2,weibull_min,0.11020756271849919,300,"c 1.644290, loc 2.907318, scale 0.082708",
python_time_results.csv,float64,TDF2,4,brak dopasowania,7.6052377836473915e-87,300,,
python_time_results.csv,float64,TDF2,6,weibull_min,0.22413530298172102,300,"c 1.315049, loc 6.932762, scale 0.144882",
python_time_results.csv,float64,TDF2,8,weibull_min,0.1433433683089821,260,"c 2.086580, loc 8.916147, scale 0.178401",
