filter_name,type,structure,cutoff,order,time_seconds
cheby2,q12,DF1,5000,6,2.698000
cheby2,q24,DF2,5000,6,2.590000
cheby2,q12,DF2,5000,6,2.829000
cheby2,q24,TDF2,5000,6,1.959000
cheby2,q12,TDF2,5000,6,2.265000
cheby2,q24,DF1,1000,8,2.706000
cheby2,q12,DF1,1000,8,4.165000
cheby2,q24,DF2,1000,8,3.287000
cheby2,q12,DF2,1000,8,3.577000
cheby2,q24,TDF2,1000,8,2.571000
cheby2,q12,TDF2,1000,8,3.292000
cheby2,q24,DF1,2000,8,2.704000
cheby2,q12,DF1,2000,8,4.170000
cheby2,q24,DF2,2000,8,3.283000
cheby2,q12,DF2,2000,8,3.588000
cheby2,q24,TDF2,2000,8,2.563000
cheby2,q12,TDF2,2000,8,3.306000
cheby2,q24,DF1,5000,8,2.701000
cheby2,q12,DF1,5000,8,4.953000
cheby2,q24,DF2,5000,8,3.368000
cheby2,q12,DF2,5000,8,3.625000
cheby2,q24,TDF2,5000,8,2.630000
cheby2,q12,TDF2,5000,8,3.093000
ellip,q24,DF1,1000,2,0.856000
ellip,q12,DF1,1000,2,1.054000
ellip,q24,DF2,1000,2,1.032000
ellip,q12,DF2,1000,2,1.285000
ellip,q24,TDF2,1000,2,0.781000
ellip,q12,TDF2,1000,2,0.846000
ellip,q24,DF1,2000,2,0.855000
ellip,q12,DF1,2000,2,1.056000
ellip,q24,DF2,2000,2,1.035000
ellip,q12,DF2,2000,2,1.252000
ellip,q24,TDF2,2000,2,0.793000
ellip,q12,TDF2,2000,2,0.848000
ellip,q24,DF1,5000,2,0.851000
ellip,q12,DF1,5000,2,1.053000
ellip,q24,DF2,5000,2,1.034000
ellip,q12,DF2,5000,2,1.232000
ellip,q24,TDF2,5000,2,0.779000
ellip,q12,TDF2,5000,2,0.846000
ellip,q24,DF1,1000,4,1.470000
ellip,q12,DF1,1000,4,1.918000
ellip,q24,DF2,1000,4,1.931000
ellip,q12,DF2,1000,4,2.116000
ellip,q24,TDF2,1000,4,1.344000
ellip,q12,TDF2,1000,4,1.465000
ellip,q24,DF1,2000,4,1.474000
ellip,q12,DF1,2000,4,1.869000
ellip,q24,DF2,2000,4,1.895000
ellip,q12,DF2,2000,4,2.143000
ellip,q24,TDF2,2000,4,1.342000
ellip,q12,TDF2,2000,4,1.555000
ellip,q24,DF1,5000,4,1.470000
ellip,q12,DF1,5000,4,1.869000
ellip,q24,DF2,5000,4,1.898000
ellip,q12,DF2,5000,4,2.150000
ellip,q24,TDF2,5000,4,1.346000
ellip,q12,TDF2,5000,4,1.558000
ellip,q24,DF1,1000,6,2.637000
ellip,q12,DF1,1000,6,2.971000
ellip,q24,DF2,1000,6,2.668000
ellip,q12,DF2,1000,6,2.952000
ellip,q24,TDF2,1000,6,1.945000
ellip,q12,TDF2,1000,6,2.200000
ellip,q24,DF1,2000,6,2.099000
ellip,q12,DF1,2000,6,2.627000
ellip,q24,DF2,2000,6,2.654000
ellip,q12,DF2,2000,6,2.952000
ellip,q24,TDF2,2000,6,1.958000
ellip,q12,TDF2,2000,6,2.190000
ellip,q24,DF1,5000,6,2.096000
ellip,q12,DF1,5000,6,2.947000
ellip,q24,DF2,5000,6,2.630000
ellip,q12,DF2,5000,6,2.836000
ellip,q24,TDF2,5000,6,1.959000
ellip,q12,TDF2,5000,6,2.262000
ellip,q24,DF1,1000,8,3.352000
ellip,q12,DF1,1000,8,4.470000
ellip,q24,DF2,1000,8,3.329000
ellip,q12,DF2,1000,8,3.617000
ellip,q24,TDF2,1000,8,2.549000
ellip,q12,TDF2,1000,8,2.947000
ellip,q24,DF1,2000,8,4.105000
ellip,q12,DF1,2000,8,4.441000
ellip,q24,DF2,2000,8,3.336000
ellip,q12,DF2,2000,8,3.581000
ellip,q24,TDF2,2000,8,2.561000
ellip,q12,TDF2,2000,8,2.975000
ellip,q24,DF1,5000,8,2.703000
ellip,q12,DF1,5000,8,4.384000
ellip,q24,DF2,5000,8,3.305000
ellip,q12,DF2,5000,8,3.608000
ellip,q24,TDF2,5000,8,2.559000
ellip,q12,TDF2,5000,8,3.127000
bessel,q24,DF1,1000,2,0.858000
bessel,q12,DF1,1000,2,1.052000
bessel,q24,DF2,1000,2,1.031000
bessel,q12,DF2,1000,2,1.274000
bessel,q24,TDF2,1000,2,0.786000
bessel,q12,TDF2,1000,2,0.847000
bessel,q24,DF1,2000,2,0.855000
bessel,q12,DF1,2000,2,1.050000
bessel,q24,DF2,2000,2,1.032000
bessel,q12,DF2,2000,2,1.242000
bessel,q24,TDF2,2000,2,0.786000
bessel,q12,TDF2,2000,2,0.846000
bessel,q24,DF1,5000,2,0.851000
bessel,q12,DF1,5000,2,1.053000
bessel,q24,DF2,5000,2,1.029000
bessel,q12,DF2,5000,2,1.230000
bessel,q24,TDF2,5000,2,0.786000
bessel,q12,TDF2,5000,2,0.847000
bessel,q24,DF1,1000,4,1.484000
bessel,q12,DF1,1000,4,1.871000
bessel,q24,DF2,1000,4,1.929000
bessel,q12,DF2,1000,4,2.151000
bessel,q24,TDF2,1000,4,1.344000
bessel,q12,TDF2,1000,4,1.556000
bessel,q24,DF1,2000,4,1.467000
bessel,q12,DF1,2000,4,1.868000
bessel,q24,DF2,2000,4,1.937000
bessel,q12,DF2,2000,4,2.143000
bessel,q24,TDF2,2000,4,1.343000
bessel,q12,TDF2,2000,4,1.555000
bessel,q24,DF1,5000,4,1.465000
bessel,q12,DF1,5000,4,1.873000
bessel,q24,DF2,5000,4,1.788000
bessel,q12,DF2,5000,4,2.186000
bessel,q24,TDF2,5000,4,1.341000
bessel,q12,TDF2,5000,4,1.550000
bessel,q24,DF1,1000,6,2.093000
bessel,q12,DF1,1000,6,2.684000
bessel,q24,DF2,1000,6,2.675000
bessel,q12,DF2,1000,6,2.969000
bessel,q24,TDF2,1000,6,1.954000
bessel,q12,TDF2,1000,6,2.261000
bessel,q24,DF1,2000,6,2.086000
bessel,q12,DF1,2000,6,2.685000
bessel,q24,DF2,2000,6,2.679000
bessel,q12,DF2,2000,6,2.905000
bessel,q24,TDF2,2000,6,1.952000
bessel,q12,TDF2,2000,6,2.260000
bessel,q24,DF1,5000,6,2.093000
bessel,q12,DF1,5000,6,2.683000
bessel,q24,DF2,5000,6,2.726000
bessel,q12,DF2,5000,6,3.007000
bessel,q24,TDF2,5000,6,1.953000
bessel,q12,TDF2,5000,6,2.259000
bessel,q24,DF1,1000,8,2.700000
bessel,q12,DF1,1000,8,3.485000
bessel,q24,DF2,1000,8,3.392000
bessel,q12,DF2,1000,8,3.876000
bessel,q24,TDF2,1000,8,2.562000
bessel,q12,TDF2,1000,8,2.968000
bessel,q24,DF1,2000,8,2.714000
bessel,q12,DF1,2000,8,3.488000
bessel,q24,DF2,2000,8,3.377000
bessel,q12,DF2,2000,8,3.756000
bessel,q24,TDF2,2000,8,2.556000
bessel,q12,TDF2,2000,8,2.974000
bessel,q24,DF1,5000,8,2.703000
bessel,q12,DF1,5000,8,3.906000
bessel,q24,DF2,5000,8,3.423000
bessel,q12,DF2,5000,8,3.737000
bessel,q24,TDF2,5000,8,2.559000
bessel,q12,TDF2,5000,8,2.902000
butter,q24,CASCADE,1000,2,0.581000
butter,q12,CASCADE,1000,2,0.752000
butter,q24,CASCADE,2000,2,0.581000
butter,q12,CASCADE,2000,2,0.725000
butter,q24,CASCADE,5000,2,0.582000
butter,q12,CASCADE,5000,2,0.751000
butter,q24,CASCADE,1000,4,1.101000
butter,q12,CASCADE,1000,4,1.460000
butter,q24,CASCADE,2000,4,1.101000
butter,q12,CASCADE,2000,4,1.427000
butter,q24,CASCADE,5000,4,1.106000
butter,q12,CASCADE,5000,4,1.453000
butter,q24,CASCADE,1000,6,1.626000
butter,q12,CASCADE,1000,6,2.151000
butter,q24,CASCADE,2000,6,1.622000
butter,q12,CASCADE,2000,6,2.144000
butter,q24,CASCADE,5000,6,1.622000
butter,q12,CASCADE,5000,6,2.151000
butter,q24,CASCADE,1000,8,2.140000
butter,q12,CASCADE,1000,8,2.853000
butter,q24,CASCADE,2000,8,2.140000
butter,q12,CASCADE,2000,8,2.849000
butter,q24,CASCADE,5000,8,2.142000
butter,q12,CASCADE,5000,8,2.861000
cheby1,q24,CASCADE,1000,2,0.581000
cheby1,q12,CASCADE,1000,2,0.759000
cheby1,q24,CASCADE,2000,2,0.583000
cheby1,q12,CASCADE,2000,2,0.728000
cheby1,q24,CASCADE,5000,2,0.582000
cheby1,q12,CASCADE,5000,2,0.751000
cheby1,q24,CASCADE,1000,4,1.108000
cheby1,q12,CASCADE,1000,4,1.479000
cheby1,q24,CASCADE,2000,4,1.108000
cheby1,q12,CASCADE,2000,4,1.462000
cheby1,q24,CASCADE,5000,4,1.101000
cheby1,q12,CASCADE,5000,4,1.445000
cheby1,q24,CASCADE,1000,6,1.627000
cheby1,q12,CASCADE,1000,6,2.179000
cheby1,q24,CASCADE,2000,6,1.633000
cheby1,q12,CASCADE,2000,6,2.178000
cheby1,q24,CASCADE,5000,6,1.638000
cheby1,q12,CASCADE,5000,6,2.134000
cheby1,q24,CASCADE,1000,8,2.151000
cheby1,q12,CASCADE,1000,8,2.883000
cheby1,q24,CASCADE,2000,8,2.144000
cheby1,q12,CASCADE,2000,8,2.874000
cheby1,q24,CASCADE,5000,8,2.141000
cheby1,q12,CASCADE,5000,8,2.844000
cheby2,q24,CASCADE,1000,2,0.583000
cheby2,q12,CASCADE,1000,2,0.808000
cheby2,q24,CASCADE,2000,2,0.580000
