filter_type,order,cutoff,structure,signal,dtype,MAE
butter,6,5000,TDF2,impulse,float32,9.697513589791078e-09
butter,6,5000,TDF2,impulse,float16,1.0546015586573866e-05
butter,6,5000,CASCADE,impulse,float32,5.095836889563559e-11
butter,6,5000,CASCADE,impulse,float16,9.346375893235702e-07
butter,6,5000,DF1,random,float32,3.0920052068929195e-06
butter,6,5000,DF1,random,float16,0.003528490911697373
butter,6,5000,DF2,random,float32,3.056981518848864e-06
butter,6,5000,DF2,random,float16,0.0034095454042925464
butter,6,5000,TDF2,random,float32,3.0567724156333245e-06
butter,6,5000,TDF2,random,float16,0.003417425760003655
butter,6,5000,CASCADE,random,float32,1.5163115225982486e-08
butter,6,5000,CASCADE,random,float16,0.0003484682667956754
butter,8,1000,DF1,impulse,float32,4.727535125121638e+65
butter,8,1000,DF1,impulse,float16,0.00039981642818549113
butter,8,1000,DF2,impulse,float32,4.727535104947439e+65
butter,8,1000,DF2,impulse,float16,nan
butter,8,1000,TDF2,impulse,float32,4.72753524413806e+65
butter,8,1000,TDF2,impulse,float16,0.00039981642611797234
butter,8,1000,CASCADE,impulse,float32,1.319279771223529e-09
butter,8,1000,CASCADE,impulse,float16,0.0003998164441812072
butter,8,1000,DF1,random,float32,0.07591155307658527
butter,8,1000,DF1,random,float16,0.030963531834634597
butter,8,1000,DF2,random,float32,0.02712641820161513
butter,8,1000,DF2,random,float16,0.02301004936106994
butter,8,1000,TDF2,random,float32,0.02712641760585867
butter,8,1000,TDF2,random,float16,0.023010049219122388
butter,8,1000,CASCADE,random,float32,3.4365745879793104e-08
butter,8,1000,CASCADE,random,float16,0.023010050423260094
butter,8,2000,DF1,impulse,float32,0.00010308461148183835
butter,8,2000,DF1,impulse,float16,nan
butter,8,2000,DF2,impulse,float32,0.00010308461147310539
butter,8,2000,DF2,impulse,float16,nan
butter,8,2000,TDF2,impulse,float32,0.00010308461148399059
butter,8,2000,TDF2,impulse,float16,nan
butter,8,2000,CASCADE,impulse,float32,7.811249387652168e-10
butter,8,2000,CASCADE,impulse,float16,0.00012204981136396139
butter,8,2000,DF1,random,float32,0.016250646586348817
butter,8,2000,DF1,random,float16,27786419712300.375
butter,8,2000,DF2,random,float32,0.016835661870847396
butter,8,2000,DF2,random,float16,24278815998372.71
butter,8,2000,TDF2,random,float32,0.016835662164143343
butter,8,2000,TDF2,random,float16,23643058250285.68
butter,8,2000,CASCADE,random,float32,1.4519186845107407e-07
butter,8,2000,CASCADE,random,float16,0.023594014475928446
butter,8,5000,DF1,impulse,float32,5.873128869319992e-08
butter,8,5000,DF1,impulse,float16,0.00019720490711432946
butter,8,5000,DF2,impulse,float32,5.8731288686033124e-08
butter,8,5000,DF2,impulse,float16,0.00019720490711436404
butter,8,5000,TDF2,impulse,float32,5.873128867164073e-08
butter,8,5000,TDF2,impulse,float16,0.00019720490711439706
butter,8,5000,CASCADE,impulse,float32,1.3414944695647494e-10
butter,8,5000,CASCADE,impulse,float16,4.6951834148268824e-07
butter,8,5000,DF1,random,float32,1.5661547139447902e-05
butter,8,5000,DF1,random,float16,0.049308290762720794
butter,8,5000,DF2,random,float32,1.5486831256098938e-05
butter,8,5000,DF2,random,float16,0.048963043778310344
butter,8,5000,TDF2,random,float32,1.548597356344504e-05
butter,8,5000,TDF2,random,float16,0.048963710797585
butter,8,5000,CASCADE,random,float32,4.2539499934614657e-08
butter,8,5000,CASCADE,random,float16,0.00014269183506762008
cheby1,2,1000,DF1,impulse,float32,1.3037322485467875e-09
cheby1,2,1000,DF1,impulse,float16,4.4376055988781013e-07
cheby1,2,1000,DF2,impulse,float32,1.3037322484552262e-09
cheby1,2,1000,DF2,impulse,float16,4.437605598876221e-07
cheby1,2,1000,TDF2,impulse,float32,1.3037322485527167e-09
cheby1,2,1000,TDF2,impulse,float16,4.4376055988781013e-07
cheby1,2,1000,CASCADE,impulse,float32,1.30372521024071e-09
cheby1,2,1000,CASCADE,impulse,float16,4.603441858801854e-07
cheby1,2,1000,DF1,random,float32,2.065728123419163e-07
cheby1,2,1000,DF1,random,float16,6.784735082539922e-05
cheby1,2,1000,DF2,random,float32,2.046899380311331e-07
cheby1,2,1000,DF2,random,float16,6.96457273424819e-05
cheby1,2,1000,TDF2,random,float32,2.0575213312200584e-07
cheby1,2,1000,TDF2,random,float16,6.616255654672946e-05
cheby1,2,1000,CASCADE,random,float32,2.0476348036726024e-07
cheby1,2,1000,CASCADE,random,float16,7.288305408126114e-05
