filter_name,type,structure,cutoff,order,signal,MAE
cheby1,float,DF2,1000,8,impulse,nan
cheby1,float,DF2,1000,8,rand,8.41844337e+01
cheby1,float,TDF2,1000,8,impulse,nan
cheby1,float,TDF2,1000,8,rand,2.48249639e+02
cheby1,float,CASCADE,1000,8,impulse,nan
cheby1,float,CASCADE,1000,8,rand,3.57543733e+01
cheby1,float,DF1,2000,8,impulse,6.69634337e+28
cheby1,float,DF1,2000,8,rand,1.30889563e-01
cheby1,float,DF2,2000,8,impulse,3.82306492e+27
cheby1,float,DF2,2000,8,rand,2.48463779e-01
cheby1,float,TDF2,2000,8,impulse,7.74592044e+31
cheby1,float,TDF2,2000,8,rand,9.14890238e-02
cheby1,float,CASCADE,2000,8,impulse,8.33563493e-04
cheby1,float,CASCADE,2000,8,rand,8.47055832e-03
cheby1,float,DF1,5000,8,impulse,6.27878653e-06
cheby1,float,DF1,5000,8,rand,1.12228566e-03
cheby1,float,DF2,5000,8,impulse,6.16144007e-06
cheby1,float,DF2,5000,8,rand,1.21151742e-03
cheby1,float,TDF2,5000,8,impulse,6.81436580e-06
cheby1,float,TDF2,5000,8,rand,1.15679703e-03
cheby1,float,CASCADE,5000,8,impulse,6.70649463e-06
cheby1,float,CASCADE,5000,8,rand,1.33595165e-03
cheby2,float,DF1,1000,2,impulse,5.93211812e-10
cheby2,float,DF1,1000,2,rand,6.20794831e-07
cheby2,float,DF2,1000,2,impulse,1.23457871e-09
cheby2,float,DF2,1000,2,rand,5.36806590e-07
cheby2,float,TDF2,1000,2,impulse,5.93211811e-10
cheby2,float,TDF2,1000,2,rand,6.38567570e-07
cheby2,float,CASCADE,1000,2,impulse,1.23457871e-09
cheby2,float,CASCADE,1000,2,rand,4.72051615e-07
cheby2,float,DF1,2000,2,impulse,4.64575810e-10
cheby2,float,DF1,2000,2,rand,1.62118277e-07
cheby2,float,DF2,2000,2,impulse,3.39673522e-10
cheby2,float,DF2,2000,2,rand,1.31258169e-07
cheby2,float,TDF2,2000,2,impulse,4.64575810e-10
cheby2,float,TDF2,2000,2,rand,1.59632621e-07
cheby2,float,CASCADE,2000,2,impulse,3.39673521e-10
cheby2,float,CASCADE,2000,2,rand,1.29645162e-07
cheby2,float,DF1,5000,2,impulse,3.61871521e-11
cheby2,float,DF1,5000,2,rand,5.52818436e-08
cheby2,float,DF2,5000,2,impulse,3.72324871e-11
cheby2,float,DF2,5000,2,rand,3.84885123e-08
cheby2,float,TDF2,5000,2,impulse,3.61871521e-11
cheby2,float,TDF2,5000,2,rand,4.58847438e-08
cheby2,float,CASCADE,5000,2,impulse,3.72324872e-11
cheby2,float,CASCADE,5000,2,rand,4.45354559e-08
cheby2,float,DF1,1000,4,impulse,7.85866257e-07
cheby2,float,DF1,1000,4,rand,7.51619004e-05
cheby2,float,DF2,1000,4,impulse,7.35057467e-07
cheby2,float,DF2,1000,4,rand,5.41051025e-05
cheby2,float,TDF2,1000,4,impulse,8.97285070e-07
cheby2,float,TDF2,1000,4,rand,5.89608676e-05
cheby2,float,CASCADE,1000,4,impulse,4.52598131e-07
cheby2,float,CASCADE,1000,4,rand,2.48351900e-05
cheby2,float,DF1,2000,4,impulse,3.64178433e-08
cheby2,float,DF1,2000,4,rand,5.18840440e-06
cheby2,float,DF2,2000,4,impulse,2.32274641e-08
cheby2,float,DF2,2000,4,rand,3.23814820e-06
cheby2,float,TDF2,2000,4,impulse,2.46282558e-08
cheby2,float,TDF2,2000,4,rand,4.78764311e-06
cheby2,float,CASCADE,2000,4,impulse,1.68780041e-08
cheby2,float,CASCADE,2000,4,rand,3.41739790e-06
cheby2,float,DF1,5000,4,impulse,8.18463767e-10
cheby2,float,DF1,5000,4,rand,1.39924143e-07
cheby2,float,DF2,5000,4,impulse,5.16747260e-10
cheby2,float,DF2,5000,4,rand,1.62207532e-07
cheby2,float,TDF2,5000,4,impulse,3.31454927e-10
cheby2,float,TDF2,5000,4,rand,2.34659998e-07
cheby2,float,CASCADE,5000,4,impulse,4.59257839e-10
cheby2,float,CASCADE,5000,4,rand,1.00585144e-07
cheby2,float,DF1,1000,6,impulse,4.09667051e-05
cheby2,float,DF1,1000,6,rand,5.40092388e-03
cheby2,float,DF2,1000,6,impulse,8.97964388e-05
cheby2,float,DF2,1000,6,rand,3.72531788e-03
cheby2,float,TDF2,1000,6,impulse,7.21054022e-05
cheby2,float,TDF2,1000,6,rand,7.55756108e-03
cheby2,float,CASCADE,1000,6,impulse,3.90348468e-05
cheby2,float,CASCADE,1000,6,rand,2.35946981e-03
cheby2,float,DF1,2000,6,impulse,5.10651239e-07
cheby2,float,DF1,2000,6,rand,7.88761167e-05
cheby2,float,DF2,2000,6,impulse,1.23377138e-06
cheby2,float,DF2,2000,6,rand,8.10119092e-05
cheby2,float,TDF2,2000,6,impulse,7.80729489e-07
cheby2,float,TDF2,2000,6,rand,1.81326096e-04
cheby2,float,CASCADE,2000,6,impulse,1.42105835e-06
cheby2,float,CASCADE,2000,6,rand,1.41239610e-04
cheby2,float,DF1,5000,6,impulse,7.12463644e-09
cheby2,float,DF1,5000,6,rand,8.69095372e-07
cheby2,float,DF2,5000,6,impulse,4.66675712e-09
cheby2,float,DF2,5000,6,rand,8.74996423e-07
cheby2,float,TDF2,5000,6,impulse,4.74132216e-09
cheby2,float,TDF2,5000,6,rand,1.73066156e-06
cheby2,float,CASCADE,5000,6,impulse,3.54734751e-09
cheby2,float,CASCADE,5000,6,rand,3.30188212e-07
cheby2,float,DF1,1000,8,impulse,nan
cheby2,float,DF1,1000,8,rand,2.07996685e+00
cheby2,float,DF2,1000,8,impulse,nan
cheby2,float,DF2,1000,8,rand,2.00193290e+00
cheby2,float,TDF2,1000,8,impulse,nan
cheby2,float,TDF2,1000,8,rand,5.77995473e+00
cheby2,float,CASCADE,1000,8,impulse,nan
cheby2,float,CASCADE,1000,8,rand,6.59401150e-01
cheby2,float,DF1,2000,8,impulse,7.52680299e-05
cheby2,float,DF1,2000,8,rand,2.36750135e-03
cheby2,float,DF2,2000,8,impulse,7.72796414e-05
cheby2,float,DF2,2000,8,rand,3.04655707e-03
cheby2,float,TDF2,2000,8,impulse,1.02260296e-04
cheby2,float,TDF2,2000,8,rand,2.96014515e-03
cheby2,float,CASCADE,2000,8,impulse,3.90454097e-05
cheby2,float,CASCADE,2000,8,rand,9.63720114e-04
cheby2,float,DF1,5000,8,impulse,4.65781691e-08
cheby2,float,DF1,5000,8,rand,9.55626733e-06
cheby2,float,DF2,5000,8,impulse,5.54440835e-08
cheby2,float,DF2,5000,8,rand,5.57219727e-06
cheby2,float,TDF2,5000,8,impulse,6.07411387e-08
cheby2,float,TDF2,5000,8,rand,5.53481369e-06
cheby2,float,CASCADE,5000,8,impulse,3.90994142e-08
cheby2,float,CASCADE,5000,8,rand,3.47537339e-06
ellip,float,DF1,1000,2,impulse,9.43313704e-10
ellip,float,DF1,1000,2,rand,1.90731700e-07
ellip,float,DF2,1000,2,impulse,7.21159666e-10
ellip,float,DF2,1000,2,rand,1.27434579e-07
ellip,float,TDF2,1000,2,impulse,8.87237671e-10
ellip,float,TDF2,1000,2,rand,2.49188445e-07
ellip,float,CASCADE,1000,2,impulse,7.21159664e-10
ellip,float,CASCADE,1000,2,rand,2.10348231e-07
ellip,float,DF1,2000,2,impulse,7.40340692e-11
ellip,float,DF1,2000,2,rand,9.23474147e-08
ellip,float,DF2,2000,2,impulse,1.64074284e-10
ellip,float,DF2,2000,2,rand,4.53334718e-08
ellip,float,TDF2,2000,2,impulse,7.58530585e-11
ellip,float,TDF2,2000,2,rand,4.32874786e-08
ellip,float,CASCADE,2000,2,impulse,1.64074284e-10
ellip,float,CASCADE,2000,2,rand,4.31569697e-08
ellip,float,DF1,5000,2,impulse,3.71808505e-11
ellip,float,DF1,5000,2,rand,2.30089449e-08
ellip,float,DF2,5000,2,impulse,2.74763547e-11
ellip,float,DF2,5000,2,rand,2.66443667e-08
ellip,float,TDF2,5000,2,impulse,3.71808505e-11
ellip,float,TDF2,5000,2,rand,2.86849615e-08
ellip,float,CASCADE,5000,2,impulse,3.74387825e-11
ellip,float,CASCADE,5000,2,rand,2.37778206e-08
ellip,float,DF1,1000,4,impulse,1.97372536e-06
ellip,float,DF1,1000,4,rand,1.52633222e-04
ellip,float,DF2,1000,4,impulse,2.13301074e-06
ellip,float,DF2,1000,4,rand,1.80556553e-04
ellip,float,TDF2,1000,4,impulse,2.35908928e-06
ellip,float,TDF2,1000,4,rand,1.04634963e-04
ellip,float,CASCADE,1000,4,impulse,2.22340560e-06
ellip,float,CASCADE,1000,4,rand,7.39667862e-05
ellip,float,DF1,2000,4,impulse,2.27508212e-07
ellip,float,DF1,2000,4,rand,2.28720320e-05
ellip,float,DF2,2000,4,impulse,1.73020707e-07
ellip,float,DF2,2000,4,rand,1.55115919e-05
ellip,float,TDF2,2000,4,impulse,1.39254731e-07
ellip,float,TDF2,2000,4,rand,9.91628645e-06
ellip,float,CASCADE,2000,4,impulse,1.53756536e-07
ellip,float,CASCADE,2000,4,rand,2.24736812e-05
ellip,float,DF1,5000,4,impulse,1.56751421e-09
ellip,float,DF1,5000,4,rand,9.31414205e-07
ellip,float,DF2,5000,4,impulse,3.12534953e-09
ellip,float,DF2,5000,4,rand,3.50560387e-07
ellip,float,TDF2,5000,4,impulse,2.72875743e-09
ellip,float,TDF2,5000,4,rand,8.54891581e-07
ellip,float,CASCADE,5000,4,impulse,1.87130019e-09
ellip,float,CASCADE,5000,4,rand,1.99260639e-07
ellip,float,DF1,1000,6,impulse,3.10912118e+07
ellip,float,DF1,1000,6,rand,1.79766706e-02
ellip,float,DF2,1000,6,impulse,1.32209842e+09
ellip,float,DF2,1000,6,rand,1.63223599e-02
ellip,float,TDF2,1000,6,impulse,2.09544789e+08
ellip,float,TDF2,1000,6,rand,1.39803067e-02
ellip,float,CASCADE,1000,6,impulse,1.39014907e+08
ellip,float,CASCADE,1000,6,rand,2.02514747e-02
ellip,float,DF1,2000,6,impulse,2.27851046e-03
ellip,float,DF1,2000,6,rand,7.00937894e-03
ellip,float,DF2,2000,6,impulse,2.58696045e-03
ellip,float,DF2,2000,6,rand,6.76966717e-04
ellip,float,TDF2,2000,6,impulse,1.57578986e-03
ellip,float,TDF2,2000,6,rand,1.55967317e-03
ellip,float,CASCADE,2000,6,impulse,1.73303575e-03
ellip,float,CASCADE,2000,6,rand,3.68717377e-04
ellip,float,DF1,5000,6,impulse,3.57776682e-06
ellip,float,DF1,5000,6,rand,3.86808308e-05
ellip,float,DF2,5000,6,impulse,3.20774182e-06
ellip,float,DF2,5000,6,rand,4.16957484e-05
ellip,float,TDF2,5000,6,impulse,2.60441988e-06
ellip,float,TDF2,5000,6,rand,3.31964714e-05
ellip,float,CASCADE,5000,6,impulse,3.07159785e-06
ellip,float,CASCADE,5000,6,rand,1.88233412e-05
ellip,float,DF1,1000,8,impulse,nan
ellip,float,DF1,1000,8,rand,5.09133064e+01
ellip,float,DF2,1000,8,impulse,nan
ellip,float,DF2,1000,8,rand,2.85407379e+02
ellip,float,TDF2,1000,8,impulse,nan
ellip,float,TDF2,1000,8,rand,3.94284470e+02
ellip,float,CASCADE,1000,8,impulse,nan
ellip,float,CASCADE,1000,8,rand,3.71665528e+00
ellip,float,DF1,2000,8,impulse,nan
ellip,float,DF1,2000,8,rand,1.04332937e+00
ellip,float,DF2,2000,8,impulse,nan
ellip,float,DF2,2000,8,rand,5.72298981e-01
ellip,float,TDF2,2000,8,impulse,nan
ellip,float,TDF2,2000,8,rand,1.04786108e+00
ellip,float,CASCADE,2000,8,impulse,nan
ellip,float,CASCADE,2000,8,rand,1.98365969e+00
ellip,float,DF1,5000,8,impulse,1.05786571e+09
ellip,float,DF1,5000,8,rand,3.11393395e-03
ellip,float,DF2,5000,8,impulse,6.19764348e+08
ellip,float,DF2,5000,8,rand,7.07247657e-03
ellip,float,TDF2,5000,8,impulse,4.29566591e+08
ellip,float,TDF2,5000,8,rand,2.07531249e-03
ellip,float,CASCADE,5000,8,impulse,5.43161193e+08
ellip,float,CASCADE,5000,8,rand,3.99696689e-03
bessel,float,DF1,1000,2,impulse,3.13458188e-10
bessel,float,DF1,1000,2,rand,1.52317010e-07
bessel,float,DF2,1000,2,impulse,3.60400460e-10
bessel,float,DF2,1000,2,rand,4.65604349e-08
