filter_name,type,structure,cutoff,order,signal,MAE
cheby1,q12,DF2,1000,4,rand,7.66069839e-02
cheby1,q24,TDF2,1000,4,impulse,1.55923546e-03
cheby1,q24,TDF2,1000,4,rand,3.06276596e-04
cheby1,q12,TDF2,1000,4,impulse,4.00436995e-04
cheby1,q12,TDF2,1000,4,rand,4.79207610e-02
cheby1,q24,DF1,2000,4,impulse,1.03474136e-04
cheby1,q24,DF1,2000,4,rand,2.63905374e-05
cheby1,q12,DF1,2000,4,impulse,3.89178336e-01
cheby1,q12,DF1,2000,4,rand,9.78153094e-02
cheby1,q24,DF2,2000,4,impulse,7.34090551e-02
cheby1,q24,DF2,2000,4,rand,1.52082830e-01
cheby1,q12,DF2,2000,4,impulse,3.25117464e-03
cheby1,q12,DF2,2000,4,rand,1.43362746e-01
cheby1,q24,TDF2,2000,4,impulse,1.03474136e-04
cheby1,q24,TDF2,2000,4,rand,2.56268737e-05
cheby1,q12,TDF2,2000,4,impulse,3.89178336e-01
cheby1,q12,TDF2,2000,4,rand,1.13097755e-01
cheby1,q24,DF1,5000,4,impulse,3.62446321e-06
cheby1,q24,DF1,5000,4,rand,1.23494867e-06
cheby1,q12,DF1,5000,4,impulse,1.57491062e-02
cheby1,q12,DF1,5000,4,rand,4.74233738e-03
cheby1,q24,DF2,5000,4,impulse,4.00022536e-09
cheby1,q24,DF2,5000,4,rand,1.11041575e-06
cheby1,q12,DF2,5000,4,impulse,1.74506729e-01
cheby1,q12,DF2,5000,4,rand,2.07391828e-01
cheby1,q24,TDF2,5000,4,impulse,3.62446321e-06
cheby1,q24,TDF2,5000,4,rand,1.49982555e-06
cheby1,q12,TDF2,5000,4,impulse,1.57491062e-02
cheby1,q12,TDF2,5000,4,rand,5.28644529e-03
cheby1,q24,DF1,1000,6,impulse,5.97293312e-01
cheby1,q24,DF1,1000,6,rand,1.84698500e-01
cheby1,q12,DF1,1000,6,impulse,4.98266983e-04
cheby1,q12,DF1,1000,6,rand,6.94501754e-02
cheby1,q24,DF2,1000,6,impulse,5.07376020e-04
cheby1,q24,DF2,1000,6,rand,5.19500912e-02
cheby1,q12,DF2,1000,6,impulse,4.98266984e-04
cheby1,q12,DF2,1000,6,rand,4.43407996e-02
